case_id,scenario,elapsed_minutes,minutes_saved,metro_walking_baseline_minutes,metro_walking_scenario_minutes,metro_walk_component_saving,evidence_kind,reason,interpretation
nangang,baseline,,,20.888771628095157,20.888771628095157,0.0,estimated,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
nangang,frequency_plus20,,,20.888771628095157,20.888771628095157,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
nangang,bus_time_minus10,,,20.888771628095157,20.888771628095157,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
nangang,bus_time_minus20,,,20.888771628095157,20.888771628095157,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
nangang,metro_walk_minus2,,,20.888771628095157,18.888771628095157,2.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
nangang,metro_walk_minus5,,,20.888771628095157,15.888771628095157,5.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
river,baseline,,,23.50911775988601,23.50911775988601,0.0,estimated,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
river,frequency_plus20,,,23.50911775988601,23.50911775988601,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
river,bus_time_minus10,,,23.50911775988601,23.50911775988601,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
river,bus_time_minus20,,,23.50911775988601,23.50911775988601,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
river,metro_walk_minus2,,,23.50911775988601,21.50911775988601,2.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
river,metro_walk_minus5,,,23.50911775988601,18.50911775988601,5.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
park,baseline,,,3.690143164785258,3.690143164785258,0.0,estimated,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
park,frequency_plus20,,,3.690143164785258,3.690143164785258,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
park,bus_time_minus10,,,3.690143164785258,3.690143164785258,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
park,bus_time_minus20,,,3.690143164785258,3.690143164785258,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
park,metro_walk_minus2,,,3.690143164785258,1.6901431647852578,2.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
park,metro_walk_minus5,,,3.690143164785258,0.0,3.690143164785258,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
wanlong,baseline,,,10.308397478336131,10.308397478336131,0.0,estimated,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
wanlong,frequency_plus20,,,10.308397478336131,10.308397478336131,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
wanlong,bus_time_minus10,,,10.308397478336131,10.308397478336131,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
wanlong,bus_time_minus20,,,10.308397478336131,10.308397478336131,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
wanlong,metro_walk_minus2,,,10.308397478336131,8.308397478336131,2.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
wanlong,metro_walk_minus5,,,10.308397478336131,5.308397478336131,5.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-home,baseline,,,116.3168897341224,116.3168897341224,0.0,estimated,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-home,frequency_plus20,,,116.3168897341224,116.3168897341224,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-home,bus_time_minus10,,,116.3168897341224,116.3168897341224,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-home,bus_time_minus20,,,116.3168897341224,116.3168897341224,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-home,metro_walk_minus2,,,116.3168897341224,114.3168897341224,2.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-home,metro_walk_minus5,,,116.3168897341224,111.3168897341224,5.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-metro,baseline,,,9.179134235518678,9.179134235518678,0.0,estimated,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-metro,frequency_plus20,,,9.179134235518678,9.179134235518678,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-metro,bus_time_minus10,,,9.179134235518678,9.179134235518678,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-metro,bus_time_minus20,,,9.179134235518678,9.179134235518678,0.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-metro,metro_walk_minus2,,,9.179134235518678,7.179134235518678,2.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
newtaipei-metro,metro_walk_minus5,,,9.179134235518678,4.179134235518678,5.0,scenario,total_journey_unidentified_without_service_and_riding_times,conditional component change; not observed policy effect
