city,district,district_id,candidate_cells,eligible_cells,candidate_fraction,residential_support,uniform_proxy
新北市,淡水區,65000100,66,423,0.15602836879432624,57,9
新北市,汐止區,65000110,46,273,0.1684981684981685,35,11
臺北市,士林區,63000110,44,343,0.1282798833819242,39,5
新北市,新店區,65000060,38,401,0.09476309226932668,26,12
新北市,樹林區,65000070,38,256,0.1484375,30,8
臺北市,文山區,63000080,27,198,0.13636363636363635,11,16
新北市,三峽區,65000090,26,368,0.07065217391304347,23,3
新北市,平溪區,65000240,25,94,0.26595744680851063,19,6
新北市,土城區,65000130,20,175,0.11428571428571428,13,7
臺北市,北投區,63000120,20,269,0.07434944237918216,13,7
新北市,三芝區,65000210,19,79,0.24050632911392406,10,9
臺北市,內湖區,63000100,18,229,0.07860262008733625,12,6
新北市,林口區,65000170,14,169,0.08284023668639054,7,7
新北市,石碇區,65000190,13,40,0.325,8,5
新北市,鶯歌區,65000080,11,149,0.0738255033557047,7,4
新北市,深坑區,65000180,10,40,0.25,8,2
新北市,萬里區,65000280,10,42,0.23809523809523808,5,5
新北市,雙溪區,65000250,10,124,0.08064516129032258,9,1
新北市,貢寮區,65000260,7,65,0.1076923076923077,6,1
新北市,五股區,65000150,6,144,0.041666666666666664,5,1
新北市,中和區,65000030,5,200,0.025,0,5
新北市,八里區,65000230,5,73,0.0684931506849315,3,2
新北市,烏來區,65000290,5,44,0.11363636363636363,5,0
新北市,瑞芳區,65000120,5,76,0.06578947368421052,3,2
新北市,金山區,65000270,5,47,0.10638297872340426,5,0
臺北市,南港區,63000090,4,119,0.03361344537815126,4,0
新北市,三重區,65000020,2,192,0.010416666666666666,2,0
新北市,新莊區,65000050,2,216,0.009259259259259259,0,2
新北市,板橋區,65000010,2,238,0.008403361344537815,2,0
臺北市,中山區,63000040,2,145,0.013793103448275862,2,0
臺北市,中正區,63000050,2,91,0.02197802197802198,1,1
新北市,坪林區,65000200,1,24,0.041666666666666664,1,0
臺北市,信義區,63000020,1,123,0.008130081300813009,0,1
新北市,永和區,65000040,0,80,0.0,0,0
新北市,泰山區,65000160,0,55,0.0,0,0
新北市,石門區,65000220,0,9,0.0,0,0
新北市,蘆洲區,65000140,0,76,0.0,0,0
臺北市,大同區,63000060,0,63,0.0,0,0
臺北市,大安區,63000030,0,132,0.0,0,0
臺北市,松山區,63000010,0,84,0.0,0,0
臺北市,萬華區,63000070,0,79,0.0,0,0
