cell_id,entity_id,city,district,representative_villages,intersecting_villages,longitude,latitude,straight_p90_m,network_p90_m,difference_m,population_estimate,population_method,population_method_code,support_count,map_url,limitations
65000:250:10992:1181,cell:65000:250:10992:1181,新北市,三峽區,新北市 三峽區 有木里,新北市 三峽區 有木里,121.4489416777786,24.839949952379715,485.6782789074172,670.7460600466125,185.06778113919523,15.334955345914878,住宅面積分配,residential_support,4,./?city=all&lat=24.839949952379715&layer=walking&lon=121.4489416777786&tab=map#explorer,代表點所在里與網格相交里只提供位置線索，不表示整里都存在服務缺口；人口是網格配置估計，並非官方里人口。此處是待實地核對的候選清冊。
65000:250:10996:1180,cell:65000:250:10996:1180,新北市,三峽區,新北市 三峽區 有木里,新北市 三峽區 有木里,121.44650062453701,24.848985657054882,256.61253900188757,974.7060327093747,718.0934937074871,8.08903246506325,住宅面積分配,residential_support,2,./?city=all&lat=24.848985657054882&layer=walking&lon=121.44650062453701&tab=map#explorer,代表點所在里與網格相交里只提供位置線索，不表示整里都存在服務缺口；人口是網格配置估計，並非官方里人口。此處是待實地核對的候選清冊。
65000:250:10999:1174,cell:65000:250:10999:1174,新北市,三峽區,新北市 三峽區 有木里,新北市 三峽區 有木里,121.4316823348155,24.85580049766817,490.69560549154716,3091.6441082516385,2600.9485027600913,5.381516817457095,住宅面積分配,residential_support,1,./?city=all&lat=24.85580049766817&layer=walking&lon=121.4316823348155&tab=map#explorer,代表點所在里與網格相交里只提供位置線索，不表示整里都存在服務缺口；人口是網格配置估計，並非官方里人口。此處是待實地核對的候選清冊。
65000:250:11000:1177,cell:65000:250:11000:1177,新北市,三峽區,新北市 三峽區 有木里,新北市 三峽區 有木里,121.43911160699545,24.858035941366346,463.1502496753045,1909.2349633542606,1446.0847136789562,17.744599208788213,面積均分代理,uniform_proxy,5,./?city=all&lat=24.858035941366346&layer=walking&lon=121.43911160699545&tab=map#explorer,代表點所在里與網格相交里只提供位置線索，不表示整里都存在服務缺口；人口是網格配置估計，並非官方里人口。此處是待實地核對的候選清冊。
65000:250:11000:1178,cell:65000:250:11000:1178,新北市,三峽區,新北市 三峽區 有木里,新北市 三峽區 有木里,121.44158541750404,24.858028649125632,485.0961798833508,1713.0545190334701,1227.9583391501192,3.2284218611642745,住宅面積分配,residential_support,1,./?city=all&lat=24.858028649125632&layer=walking&lon=121.44158541750404&tab=map#explorer,代表點所在里與網格相交里只提供位置線索，不表示整里都存在服務缺口；人口是網格配置估計，並非官方里人口。此處是待實地核對的候選清冊。
65000:250:11003:1175,cell:65000:250:11003:1175,新北市,三峽區,新北市 三峽區 有木里,新北市 三峽區 有木里,121.43418762812531,24.864821620547044,272.7199446788482,1045.4293264131438,772.7093817342957,8.031344572080611,住宅面積分配,residential_support,2,./?city=all&lat=24.864821620547044&layer=walking&lon=121.43418762812531&tab=map#explorer,代表點所在里與網格相交里只提供位置線索，不表示整里都存在服務缺口；人口是網格配置估計，並非官方里人口。此處是待實地核對的候選清冊。
65000:250:11004:1170,cell:65000:250:11004:1170,新北市,三峽區,新北市 三峽區 插角里,新北市 三峽區 插角里；新北市 三峽區 有木里,121.42182553713411,24.8671141433942,286.1405407316215,543.2651682571955,257.12462752557394,3.6204192711367997,住宅面積分配,residential_support,1,./?city=all&lat=24.8671141433942&layer=walking&lon=121.42182553713411&tab=map#explorer,代表點所在里與網格相交里只提供位置線索，不表示整里都存在服務缺口；人口是網格配置估計，並非官方里人口。此處是待實地核對的候選清冊。
65000:250:11004:1175,cell:65000:250:11004:1175,新北市,三峽區,新北市 三峽區 有木里,新北市 三峽區 有木里,121.43419551171876,24.867078691708716,436.57558966500454,1331.442382352125,894.8667926871203,13.137153573997738,住宅面積分配,residential_support,2,./?city=all&lat=24.867078691708716&layer=walking&lon=121.43419551171876&tab=map#explorer,代表點所在里與網格相交里只提供位置線索，不表示整里都存在服務缺口；人口是網格配置估計，並非官方里人口。此處是待實地核對的候選清冊。
65000:250:11005:1168,cell:65000:250:11005:1168,新北市,三峽區,新北市 三峽區 插角里,新北市 三峽區 插角里,121.41688511085368,24.869385112752727,157.51651205514216,530.1216706673978,372.60515861225565,10.370812610853612,住宅面積分配,residential_support,3,./?city=all&lat=24.869385112752727&layer=walking&lon=121.41688511085368&tab=map#explorer,代表點所在里與網格相交里只提供位置線索，不表示整里都存在服務缺口；人口是網格配置估計，並非官方里人口。此處是待實地核對的候選清冊。
65000:250:11006:1166,cell:65000:250:11006:1166,新北市,三峽區,新北市 三峽區 插角里,新北市 三峽區 插角里,121.41194450211825,24.871655920325907,272.73047127983097,713.0009350019557,440.2704637221247,0.4208371926112285,住宅面積分配,residential_support,1,./?city=all&lat=24.871655920325907&layer=walking&lon=121.41194450211825&tab=map#explorer,代表點所在里與網格相交里只提供位置線索，不表示整里都存在服務缺口；人口是網格配置估計，並非官方里人口。此處是待實地核對的候選清冊。
