metric,pair_scope,hundred_relation,number_gap_bin,pair_count,finite_pair_count,nonfinite_pair_count,parent_count,median,p25,p75,p90,unit,inference
geometry,all,all,0,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,all,0,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,all,1–9,2046,2046,0,373,6875.19116211,3696.54656982,12961.5266113,22010.3476562,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,all,1–9,2046,2046,0,373,1,0.984905034304,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,all,10–49,7852,7852,0,376,10054.6728516,5024.32348633,17817.6367188,27083.6988281,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,all,10–49,7852,7852,0,376,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,all,50–99,7205,7205,0,376,12340.0947266,6789.56054688,20086.0429688,29965.2183594,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,all,50–99,7205,7205,0,376,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,all,100–299,19873,19873,0,376,11346.2060547,6065.20849609,18657.4902344,26893.4261719,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,all,100–299,19873,19873,0,376,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,all,≥300,33900,33900,0,377,10894.5732422,6272.20129395,16299.1728516,22376.0148437,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,all,≥300,33900,33900,0,377,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,same_hundred,0,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,same_hundred,0,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,same_hundred,1–9,1960,1960,0,372,6811.00854492,3656.86212158,12913.9833984,22271.7326172,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,same_hundred,1–9,1960,1960,0,372,1,0.983706533909,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,same_hundred,10–49,5775,5775,0,370,8665.01074219,4531.6015625,15927.7753906,24400.5304688,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,same_hundred,10–49,5775,5775,0,370,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,same_hundred,50–99,2332,2332,0,346,10249.0126953,5267.09887695,18046.2412109,27794.2412109,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,same_hundred,50–99,2332,2332,0,346,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,same_hundred,100–299,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,same_hundred,100–299,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,same_hundred,≥300,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,same_hundred,≥300,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,cross_hundred,0,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,cross_hundred,0,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,cross_hundred,1–9,86,86,0,51,9588.73876953,5020.03540039,13120.9104004,18332.9941406,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,cross_hundred,1–9,86,86,0,51,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,all,cross_hundred,10–49,2077,2077,0,300,14461.8994141,7890.03613281,22966.9550781,31899.3636719,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,all,cross_hundred,10–49,2077,2077,0,300,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
