contrast_id,parent_id,representative_pattern_id,name,city,centroid_lon,centroid_lat,geographic_stratum,agreement,baseline_agreement,delta,effective_k,boundary_tie_count
geometry:number_band:B1,NewTaipei:10116,NewTaipei:10116:101160:0:ff7bdc67505e9598,242,NewTaipei,121.509319152,25.009180583,NewTaipei:geo04,0.6,0.7,-0.1,10,1
geometry:number_band:B1,NewTaipei:10148,NewTaipei:10148:101480:0:466ad563122a78aa,702,NewTaipei,121.400848129,24.9739634022,NewTaipei:geo00,0,0,0,10,1
geometry:number_band:B1,NewTaipei:10149,NewTaipei:10149:101490:0:8795353df3583e42,624綠野香坡,NewTaipei,121.505240043,24.9892807947,NewTaipei:geo04,0.3,0.2,0.1,10,1
geometry:number_band:B1,NewTaipei:10151,NewTaipei:10151:101510:0:995ae95c0ef44acc,701,NewTaipei,121.447061631,25.0115495113,NewTaipei:geo02,0.1,0.1,0,10,1
geometry:number_band:B1,NewTaipei:10161,NewTaipei:10161:101610:0:4f2968b52dfcb7e7,231,NewTaipei,121.479437471,25.012536982,NewTaipei:geo04,0.5,0.5,0,10,1
geometry:number_band:B1,NewTaipei:10162,NewTaipei:10162:10162:0:37cc628cc28a412d,245,NewTaipei,121.47602604,25.0150112199,NewTaipei:geo04,0.5,0.5,0,10,1
geometry:number_band:B1,NewTaipei:10163,NewTaipei:10163:158438:0:6532562bb7767d0b,656,NewTaipei,121.474635399,25.0138304114,NewTaipei:geo04,0.3,0.2,0.1,10,1
geometry:number_band:B1,NewTaipei:10164,NewTaipei:10164:10164:1:a6865ea531d7320d,657,NewTaipei,121.463799934,24.9991092794,NewTaipei:geo04,0.3,0.2,0.1,10,1
geometry:number_band:B1,NewTaipei:10171,NewTaipei:10171:101710:0:98973ebc62b4e2a4,201,NewTaipei,121.492436456,25.0116682614,NewTaipei:geo04,0.7,0.4,0.3,10,1
geometry:number_band:B1,NewTaipei:10172,NewTaipei:10172:101720:0:e4568c6a58eb0426,243,NewTaipei,121.504757529,25.0147400033,NewTaipei:geo04,0.7,0.7,0,10,1
geometry:number_band:B1,NewTaipei:10173,NewTaipei:10173:10173:0:c37095860ef814ee,241,NewTaipei,121.511007818,25.0064751787,NewTaipei:geo04,0.7,0.6,0.1,10,1
geometry:number_band:B1,NewTaipei:10195,NewTaipei:10195:101950:0:2edae7707d881214,705,NewTaipei,121.429646389,24.9759311334,NewTaipei:geo00,0.2,0.1,0.1,10,1
geometry:number_band:B1,NewTaipei:10196,NewTaipei:10196:158514:0:97ba35e037ac79fe,706,NewTaipei,121.444008744,24.9762242579,NewTaipei:geo00,0.2,0.1,0.1,10,1
geometry:number_band:B1,NewTaipei:10325,NewTaipei:10325:158645:0:d50e277fc0e2a519,909,NewTaipei,121.526722472,24.9888506606,NewTaipei:geo04,0.5,0.4,0.1,10,1
geometry:number_band:B1,NewTaipei:10329,NewTaipei:10329:10329:0:19eb6d1ec1896e66,906,NewTaipei,121.528346012,24.9924983541,NewTaipei:geo04,0.5,0.4,0.1,10,1
geometry:number_band:B1,NewTaipei:10424,NewTaipei:10424:10424:0:3c6ba69d5785da66,520,NewTaipei,121.480812697,25.0636170989,NewTaipei:geo02,0.3,0.2,0.1,10,1
geometry:number_band:B1,NewTaipei:10453,NewTaipei:10453:158513:0:6b884c958d9a56f2,640,NewTaipei,121.474301606,25.0646461226,NewTaipei:geo02,0.3,0.1,0.2,10,1
geometry:number_band:B1,NewTaipei:10474,NewTaipei:10474:10474:0:3da456d90f518a0d,636,NewTaipei,121.464220248,25.0423837346,NewTaipei:geo02,0.6,0.4,0.2,10,1
geometry:number_band:B1,NewTaipei:10475,NewTaipei:10475:158511:0:e2bbc3b542a0944a,635,NewTaipei,121.458629341,25.0367362827,NewTaipei:geo02,0.5,0.3,0.2,10,1
geometry:number_band:B1,NewTaipei:10491,NewTaipei:10491:104910:0:50a7a3e32b5246cf,637,NewTaipei,121.454669281,25.0489042232,NewTaipei:geo02,0.2,0.3,-0.1,10,1
geometry:number_band:B1,NewTaipei:10492,NewTaipei:10492:104920:0:451a2f199685c72e,638,NewTaipei,121.466358695,25.0533308856,NewTaipei:geo02,0.3,0.2,0.1,10,1
geometry:number_band:B1,NewTaipei:10511,NewTaipei:10511:105110:0:a7cd1a1880f65d57,639,NewTaipei,121.458524382,25.0326087444,NewTaipei:geo02,0.5,0.2,0.3,10,1
geometry:number_band:B1,NewTaipei:10753,NewTaipei:10753:107530:0:896dd5157763170d,666華梵大學,NewTaipei,121.62190555,24.9934221443,NewTaipei:geo05,0.3,0.4,-0.1,10,1
geometry:number_band:B1,NewTaipei:10772,NewTaipei:10772:158435:0:1fd0289257a63bf1,249,NewTaipei,121.514890777,25.0117374304,NewTaipei:geo04,0.5,0.7,-0.2,10,1
geometry:number_band:B1,NewTaipei:10784,NewTaipei:10784:158646:0:a1be720352ca62b6,290副,NewTaipei,121.538037129,24.9893196368,NewTaipei:geo04,0.2,0.2,0,10,1
geometry:number_band:B1,NewTaipei:11244,NewTaipei:11244:158644:0:6f3b44a495988e6d,62,NewTaipei,121.495369643,25.0560890016,NewTaipei:geo02,0.3,0.2,0.1,10,1
geometry:number_band:B1,NewTaipei:15224,NewTaipei:15224:158440:0:42d382630157eddd,631,NewTaipei,121.476111811,25.1585429546,NewTaipei:geo03,0,0,0,10,1
geometry:number_band:B1,NewTaipei:15638,NewTaipei:15638:15638:0:8665fdcdfd5bb428,677,NewTaipei,121.620796246,25.0732522888,NewTaipei:geo05,0.4,0.4,0,10,1
geometry:number_band:B1,NewTaipei:15717,NewTaipei:15717:15717:0:cce8f6eb61c362e7,913,NewTaipei,121.525869513,24.9962054025,NewTaipei:geo04,0.5,0.5,0,10,1
geometry:number_band:B1,NewTaipei:16113,NewTaipei:16113:16113:0:05803dbd7ae935cd,658,NewTaipei,121.474824058,25.0321458768,NewTaipei:geo02,0.3,0.3,0,10,1
geometry:number_band:B1,NewTaipei:16123,NewTaipei:16123:158437:0:3c5e4731a4b4b30c,667,NewTaipei,121.480409834,25.017978059,NewTaipei:geo04,0.3,0.2,0.1,10,1
geometry:number_band:B1,NewTaipei:16210,NewTaipei:16210:159937:0:229eb14acc3b7bab,917,NewTaipei,121.384958055,24.9529203844,NewTaipei:geo00,0.9,0.7,0.2,10,1
geometry:number_band:B1,NewTaipei:16215,NewTaipei:16215:157210:0:d111340ad9c69495,848,NewTaipei,121.444365643,25.0027434819,NewTaipei:geo00,0.3,0.3,0,10,1
geometry:number_band:B1,NewTaipei:16223,NewTaipei:16223:157218:0:5a35c4e39f131dcb,807,NewTaipei,121.399789984,24.8825744363,NewTaipei:geo00,0.1,0.1,0,10,1
geometry:number_band:B1,NewTaipei:16224,NewTaipei:16224:157219:0:ee4d73835b4e51fc,922,NewTaipei,121.400327579,24.9523211636,NewTaipei:geo00,0.9,0.6,0.3,10,1
geometry:number_band:B1,NewTaipei:16258,NewTaipei:16258:157253:0:c90af6eec0eae095,819,NewTaipei,121.585826572,24.9944077043,NewTaipei:geo05,0.1,0.1,0,10,1
geometry:number_band:B1,NewTaipei:16269,NewTaipei:16269:157264:0:fea170968f437c8f,836,NewTaipei,121.436682601,25.1730336615,NewTaipei:geo03,0.5,0.5,0,10,1
geometry:number_band:B1,NewTaipei:16270,NewTaipei:16270:157265:0:d1e018273448e9e8,838,NewTaipei,121.446395921,25.0952242542,NewTaipei:geo01,0.3,0.4,-0.1,10,1
geometry:number_band:B1,NewTaipei:16393,NewTaipei:16393:157389:0:bc5322e9b6aff990,849,NewTaipei,121.541847701,24.9501970593,NewTaipei:geo04,0.1,0.4,-0.3,10,1
geometry:number_band:B1,NewTaipei:16406,NewTaipei:16406:157402:0:a934aeb55537bbd3,8,NewTaipei,121.519521375,24.9758824381,NewTaipei:geo04,0,0,0,10,1
geometry:number_band:B1,NewTaipei:16422,NewTaipei:16422:157418:0:7fffc97d7c15c07e,923,NewTaipei,121.629507365,24.9796330943,NewTaipei:geo05,0.1,0.2,-0.1,10,1
geometry:number_band:B1,NewTaipei:16423,NewTaipei:16423:157419:0:797029e6ff15f3a0,930,NewTaipei,121.509713254,24.9891865207,NewTaipei:geo04,0.5,0.1,0.4,10,1
geometry:number_band:B1,NewTaipei:16425,NewTaipei:16425:157421:0:9642ba40e52508c5,811,NewTaipei,121.495536268,25.0749193568,NewTaipei:geo02,0,0.1,-0.1,10,1
geometry:number_band:B1,NewTaipei:16427,NewTaipei:16427:157423:0:614597252624e502,839,NewTaipei,121.514429943,24.9556005961,NewTaipei:geo04,0.3,0.4,-0.1,10,1
geometry:number_band:B1,NewTaipei:16429,NewTaipei:16429:157425:1:05c3af4f8106018c,847,NewTaipei,121.422003109,24.9852603538,NewTaipei:geo00,0.6,0.6,0,10,1
geometry:number_band:B1,NewTaipei:16461,NewTaipei:16461:157481:0:f2013d00bdb2e426,707,NewTaipei,121.471061389,24.9876986477,NewTaipei:geo04,0.2,0,0.2,10,1
geometry:number_band:B1,NewTaipei:16462,NewTaipei:16462:157485:0:555f17115cbfb352,910,NewTaipei,121.40520887,24.9582100933,NewTaipei:geo00,0.8,0.7,0.1,10,1
geometry:number_band:B1,NewTaipei:16467,NewTaipei:16467:157490:0:813c968ae1a21d97,51,NewTaipei,121.489824208,25.0063793457,NewTaipei:geo04,0.1,0.1,0,10,1
geometry:number_band:B1,NewTaipei:16468,NewTaipei:16468:157491:0:e5cd8610040b3f4c,57,NewTaipei,121.492465657,25.0024590542,NewTaipei:geo04,0.1,0.1,0,10,1
geometry:number_band:B1,NewTaipei:16474,NewTaipei:16474:157497:0:11dc567882d77fb9,843,NewTaipei,121.430502765,25.0031162594,NewTaipei:geo00,0.3,0.4,-0.1,10,1
geometry:number_band:B1,NewTaipei:16479,NewTaipei:16479:157502:0:56cf2f0d58f20e42,802區,NewTaipei,121.439703018,25.0255584665,NewTaipei:geo02,0.5,0.6,-0.1,10,1
geometry:number_band:B1,NewTaipei:16485,NewTaipei:16485:157508:0:153403772f37552b,835,NewTaipei,121.471144471,25.0506024624,NewTaipei:geo02,0.2,0.3,-0.1,10,1
geometry:number_band:B1,NewTaipei:16497,NewTaipei:16497:157520:0:45353088cb0191ee,837,NewTaipei,121.447770861,25.1586323821,NewTaipei:geo03,0.6,0.7,-0.1,10,1
geometry:number_band:B1,NewTaipei:16499,NewTaipei:16499:157522:0:18b92cbc03184ac4,816,NewTaipei,121.489653193,25.0817582529,NewTaipei:geo02,0.2,0.2,0,10,1
geometry:number_band:B1,NewTaipei:16500,NewTaipei:16500:157523:0:2fe5c86352962881,815,NewTaipei,121.503957436,25.0860289774,NewTaipei:geo02,0.2,0.1,0.1,10,1
geometry:number_band:B1,NewTaipei:16511,NewTaipei:16511:157546:0:97dfcd6bd8d4856c,779,NewTaipei,121.449183753,24.9402142365,NewTaipei:geo00,0.1,0.1,0,10,1
geometry:number_band:B1,NewTaipei:16513,NewTaipei:16513:157548:0:4782440627b68446,885,NewTaipei,121.416207753,24.989186365,NewTaipei:geo00,0.4,0.6,-0.2,10,1
geometry:number_band:B1,NewTaipei:16515,NewTaipei:16515:157550:0:fd7e71caafc440ec,858,NewTaipei,121.407397289,25.0450674316,NewTaipei:geo02,0.3,0.1,0.2,10,1
geometry:number_band:B1,NewTaipei:16517,NewTaipei:16517:157552:0:e84cfc4450033a6a,704,NewTaipei,121.453034848,25.1152454095,NewTaipei:geo01,0.3,0,0.3,10,1
geometry:number_band:B1,NewTaipei:16518,NewTaipei:16518:157553:0:4daa3c6f4d7638b5,859,NewTaipei,121.42812373,25.0217069106,NewTaipei:geo02,0.6,0.7,-0.1,10,1
geometry:number_band:B1,NewTaipei:16521,NewTaipei:16521:159438:0:7dcd17baf028b851,704區,NewTaipei,121.436707681,25.135424386,NewTaipei:geo01,0.1,0.1,0,10,1
geometry:number_band:B1,NewTaipei:16522,NewTaipei:16522:159493:0:48ca463942be810f,881,NewTaipei,121.436324493,25.1821718297,NewTaipei:geo03,0.5,0.5,0,10,1
geometry:number_band:B1,NewTaipei:16526,NewTaipei:16526:157561:0:0952272a718d5790,869,NewTaipei,121.438255471,25.1771831051,NewTaipei:geo03,0.6,0.5,0.1,10,1
