comparison,city,population_method,difference_m,cells,allocated_population,F_cells,F_allocated_population
p90_minus_mean,Both,all,-56.8411601599,1,9.56351079866,0.000165371258475,1.56840662963e-06
p90_minus_mean,Both,all,-40.6923313486,1,43.4649551934,0.000330742516951,8.69661773504e-06
p90_minus_mean,Both,all,-32.1230717465,1,4.34495585399,0.000496113775426,9.40918634193e-06
p90_minus_mean,Both,all,-30.8899462072,1,148.214998689,0.000661485033901,3.37163044544e-05
p90_minus_mean,Both,all,-29.9730349722,1,744.8718471,0.000826856292376,0.000155874575387
p90_minus_mean,Both,all,-26.5518551609,1,115.063267088,0.000992227550852,0.000174744841206
p90_minus_mean,Both,all,-25.4209742312,1,123.607150933,0.00115759880933,0.000195016295808
p90_minus_mean,Both,all,-23.7453020755,1,652.4390856,0.0013229700678,0.000302015682207
p90_minus_mean,Both,all,-22.6284855139,1,237.439283122,0.00148834132628,0.000340955497681
p90_minus_mean,Both,all,-20.0602185182,1,178.938865364,0.00165371258475,0.000370301300561
p90_minus_mean,Both,all,-20.0562585146,1,18.3013024327,0.00181908384323,0.000373302696666
p90_minus_mean,Both,all,-19.8385428864,1,335.843241209,0.0019844551017,0.000428380667206
p90_minus_mean,Both,all,-19.5046100584,1,322.480093777,0.00214982636018,0.000481267094341
p90_minus_mean,Both,all,-18.7636521934,1,635.136129496,0.00231519761865,0.000585428812479
p90_minus_mean,Both,all,-18.5411335615,1,218.746506702,0.00248056887713,0.000621303030487
p90_minus_mean,Both,all,-18.220467355,1,40.3053629922,0.0026459401356,0.000627913071492
p90_minus_mean,Both,all,-18.03361701,1,79.8457619983,0.00281131139408,0.000641007700138
p90_minus_mean,Both,all,-17.6325751181,1,147.051117797,0.00297668265255,0.000665123942897
p90_minus_mean,Both,all,-16.859518243,1,212.325362157,0.00314205391103,0.000699945099338
p90_minus_mean,Both,all,-15.5733599184,1,82.7885470526,0.00330742516951,0.000713522341921
p90_minus_mean,Both,all,-14.5326463129,1,2076.41293892,0.00347279642798,0.00105405207915
p90_minus_mean,Both,all,-13.512866505,1,281.561046168,0.00363816768646,0.00110022782159
p90_minus_mean,Both,all,-13.1864837366,1,143.797230453,0.00380353894493,0.00112381042993
p90_minus_mean,Both,all,-12.8945464853,1,1245.11776794,0.00396891020341,0.00132800855372
p90_minus_mean,Both,all,-12.7210972317,1,1.10040724932,0.00413428146188,0.00132818901946
p90_minus_mean,Both,all,-10.9999716276,1,971.371090993,0.00429965272036,0.00148749294989
p90_minus_mean,Both,all,-10.2643472456,1,80.086156491,0.00446502397883,0.001500627003
p90_minus_mean,Both,all,-10.0781933654,1,460.054855229,0.00463039523731,0.00157607555951
p90_minus_mean,Both,all,-10.0666268178,1,27.5923648257,0.00479576649578,0.00158060068097
p90_minus_mean,Both,all,-9.96421274108,1,173.712008436,0.00496113775426,0.00160908928431
p90_minus_mean,Both,all,-9.83090849699,1,23.9361895286,0.00512650901273,0.00161301479651
p90_minus_mean,Both,all,-9.70870853624,1,1282.61175917,0.00529188027121,0.00182336189902
p90_minus_mean,Both,all,-9.02546766967,1,326.618165346,0.00545725152968,0.00187692696594
p90_minus_mean,Both,all,-8.92152417683,1,117.37579904,0.00562262278816,0.00189617648478
p90_minus_mean,Both,all,-8.88069817399,1,181.860201723,0.00578799404663,0.00192600138403
p90_minus_mean,Both,all,-8.85285926818,1,486.446120071,0.00595336530511,0.00200577808275
p90_minus_mean,Both,all,-8.67900694086,1,2281.46135268,0.00611873656359,0.00237993556384
