cell_id,city,district,population_estimate,population_known_estimate,population_method,position_status,support_count,bus_known_weight,x,y,lon,lat,comparison,left_m,right_m,D0,D1,D2,D3,difference_m,exclusion_reason
63000:250:11049:1245,Taipei,文山區,53.2274459108,53.2274459108,residential_support,residential_area_proxy,3,1,311375,2762375,121.60786996,24.9680394932,representative_minus_mean,352.791268207,394.767722337,True,True,True,True,-41.9764541292,included
63000:250:11050:1245,Taipei,文山區,92.4511502849,92.4511502849,residential_support,residential_area_proxy,5,1,311375,2762625,121.607881049,24.9702964706,representative_minus_mean,82.0430926939,123.259448032,True,True,True,True,-41.2163553385,included
63000:250:11050:1246,Taipei,文山區,19.5591037602,19.5591037602,residential_support,residential_area_proxy,5,1,311625,2762625,121.610357033,24.9702863411,representative_minus_mean,250.152753951,265.419948165,True,True,True,True,-15.2671942148,included
63000:250:11051:1232,Taipei,文山區,119.579033993,119.579033993,uniform_proxy,residential_area_proxy,2,1,308125,2762875,121.575703649,24.9726813975,representative_minus_mean,169.16656819,178.203439146,True,True,True,True,-9.03687095625,included
63000:250:11052:1226,Taipei,文山區,152.785692319,152.785692319,uniform_proxy,residential_area_proxy,1,1,306625,2763125,121.560857583,24.9749950995,representative_minus_mean,720.717157202,623.594380898,True,True,True,True,97.1227763033,included
63000:250:11053:1237,Taipei,文山區,139.856931762,139.856931762,uniform_proxy,residential_area_proxy,1,1,309375,2763375,121.588105326,24.9771469771,representative_minus_mean,846.80938669,663.414892066,True,True,True,True,183.394494624,included
63000:250:11053:1241,Taipei,文山區,13.5834037795,13.5834037795,residential_support,residential_area_proxy,1,1,310375,2763375,121.598009836,24.9771075174,representative_minus_mean,1060.07236444,1018.14090752,True,True,True,True,41.9314569191,included
63000:250:11054:1224,Taipei,文山區,2691.25260274,2691.25260274,residential_support,residential_area_proxy,4,1,306125,2763625,121.555925673,24.979527666,representative_minus_mean,173.108057563,185.376872584,True,True,True,True,-12.2688150211,included
63000:250:11054:1225,Taipei,文山區,318.089866329,318.089866329,uniform_proxy,residential_area_proxy,2,1,306375,2763625,121.558401864,24.9795183973,representative_minus_mean,675.095783506,293.584143299,True,True,True,True,381.511640207,included
63000:250:11054:1227,Taipei,文山區,3.89609245319,3.89609245319,uniform_proxy,residential_area_proxy,1,1,306875,2763625,121.563354243,24.9794997362,representative_minus_mean,904.247204629,284.891542155,True,True,True,True,619.355662474,included
63000:250:11054:1228,Taipei,文山區,186.901447757,186.901447757,uniform_proxy,residential_area_proxy,1,1,307125,2763625,121.56583043,24.979490344,representative_minus_mean,623.056957098,614.312472833,True,True,True,True,8.74448426448,included
63000:250:11054:1236,Taipei,文山區,36.3517416395,36.3517416395,uniform_proxy,residential_area_proxy,1,1,309125,2763625,121.585639883,24.9794137229,representative_minus_mean,600.580711917,542.821541705,True,True,True,True,57.7591702124,included
