comparison,city,population_method,threshold_m,left_beyond,right_beyond,cells,allocated_population
network_minus_straight_mean,Both,all,300,False,False,4351,5578799.03892
network_minus_straight_mean,Both,all,300,False,True,0,0
network_minus_straight_mean,Both,all,300,True,False,821,430638.567143
network_minus_straight_mean,Both,all,300,True,True,875,88158.9087845
network_minus_straight_mean,Both,all,500,False,False,5118,6006222.51876
network_minus_straight_mean,Both,all,500,False,True,0,0
network_minus_straight_mean,Both,all,500,True,False,435,64819.9734133
network_minus_straight_mean,Both,all,500,True,True,494,26554.0226715
network_minus_straight_mean,Both,all,800,False,False,5462,6061006.75797
network_minus_straight_mean,Both,all,800,False,True,0,0
network_minus_straight_mean,Both,all,800,True,False,312,26090.6238037
network_minus_straight_mean,Both,all,800,True,True,273,10499.1330724
network_minus_straight_mean,NewTaipei,all,300,False,False,2829,3405438.26999
network_minus_straight_mean,NewTaipei,all,300,False,True,0,0
network_minus_straight_mean,NewTaipei,all,300,True,False,601,281162.86155
network_minus_straight_mean,NewTaipei,all,300,True,True,742,60229.1211033
network_minus_straight_mean,NewTaipei,all,500,False,False,3373,3678028.86094
network_minus_straight_mean,NewTaipei,all,500,False,True,0,0
network_minus_straight_mean,NewTaipei,all,500,True,False,344,45663.319491
network_minus_straight_mean,NewTaipei,all,500,True,True,455,23138.072213
network_minus_straight_mean,NewTaipei,all,800,False,False,3635,3714752.73893
network_minus_straight_mean,NewTaipei,all,800,False,True,0,0
network_minus_straight_mean,NewTaipei,all,800,True,False,267,21701.582687
network_minus_straight_mean,NewTaipei,all,800,True,True,270,10375.9310307
network_minus_straight_mean,NewTaipei,known_zero,300,False,False,0,0
network_minus_straight_mean,NewTaipei,known_zero,300,False,True,0,0
network_minus_straight_mean,NewTaipei,known_zero,300,True,False,0,0
network_minus_straight_mean,NewTaipei,known_zero,300,True,True,0,0
network_minus_straight_mean,NewTaipei,known_zero,500,False,False,0,0
network_minus_straight_mean,NewTaipei,known_zero,500,False,True,0,0
network_minus_straight_mean,NewTaipei,known_zero,500,True,False,0,0
network_minus_straight_mean,NewTaipei,known_zero,500,True,True,0,0
network_minus_straight_mean,NewTaipei,known_zero,800,False,False,0,0
