cell_id,city,district,lon,lat,classification,population_estimate,population_method,position_status,support_count,stratum_population_cells,selection_probability
65000:250:11156:1208,NewTaipei,三芝區,121.517273577,25.2098817769,barrier_detour_candidate,8.23589554594,uniform_proxy,fallback_unverified,1,2116,0.00141776937618
65000:250:11172:1182,NewTaipei,三芝區,121.452904882,25.2462046513,residential_coverage_candidate,2.04215368407,uniform_proxy,fallback_unverified,1,4731,0.000634115409004
65000:250:11175:1210,NewTaipei,三芝區,121.522418482,25.2527460256,barrier_detour_candidate,3.62123112137,uniform_proxy,fallback_unverified,1,2116,0.00141776937618
65000:250:11116:1172,NewTaipei,五股區,121.427647367,25.119887961,within_walk_threshold,18.3615040985,residential_support,residential_area_proxy,2,5555,0.000540054005401
65000:250:11119:1171,NewTaipei,五股區,121.425191738,25.1266660791,within_walk_threshold,37.4696155326,residential_support,residential_area_proxy,5,5555,0.000540054005401
65000:250:11132:1163,NewTaipei,八里區,121.405455023,25.1560625967,within_walk_threshold,0.00940994558607,uniform_proxy,fallback_unverified,1,5555,0.000540054005401
65000:250:10997:1286,NewTaipei,坪林區,121.708711502,24.8502290895,unresolved_walk_evidence,0.390521952367,uniform_proxy,fallback_unverified,1,5418,0.000553709856035
65000:250:11033:1309,NewTaipei,坪林區,121.76610362,24.9311977527,unresolved_walk_evidence,0.0369302512842,uniform_proxy,fallback_unverified,1,5418,0.000553709856035
65000:250:11088:1269,NewTaipei,汐止區,121.667767934,25.055805639,barrier_detour_candidate,728.782942071,residential_support,residential_area_proxy,1,2116,0.00141776937618
65000:250:11084:1172,NewTaipei,泰山區,121.42739649,25.0476637334,unresolved_walk_evidence,2300.51656126,uniform_proxy,residential_area_proxy,5,5418,0.000553709856035
65000:250:11036:1257,NewTaipei,石碇區,121.637430052,24.9385746311,residential_coverage_candidate,0.623621323775,uniform_proxy,fallback_unverified,1,4731,0.000634115409004
65000:250:11146:1264,NewTaipei,萬里區,121.656078182,25.1867616221,residential_coverage_candidate,0.0317246553715,uniform_proxy,fallback_unverified,1,4731,0.000634115409004
63000:250:11076:1234,Taipei,信義區,121.580920998,25.0290866389,barrier_detour_candidate,52.7643332819,uniform_proxy,fallback_unverified,1,352,0.00852272727273
63000:250:11077:1226,Taipei,信義區,121.561113825,25.0314197501,within_walk_threshold,1949.79194677,uniform_proxy,residential_area_proxy,5,2088,0.0014367816092
63000:250:11107:1230,Taipei,內湖區,121.571336698,25.0990909059,residential_coverage_candidate,3.01401643883,uniform_proxy,fallback_unverified,1,244,0.0122950819672
63000:250:11143:1216,Taipei,北投區,121.536991649,25.1804708353,barrier_detour_candidate,2.12784499605,uniform_proxy,fallback_unverified,1,352,0.00852272727273
63000:250:11074:1248,Taipei,南港區,121.615578795,25.0244331348,unresolved_walk_evidence,9.83972793949,residential_support,residential_area_proxy,5,289,0.0103806228374
63000:250:11104:1220,Taipei,士林區,121.546520684,25.0924134139,unresolved_walk_evidence,17.8083732954,residential_support,residential_area_proxy,2,289,0.0103806228374
63000:250:11114:1237,Taipei,士林區,121.588762426,25.1148216675,residential_coverage_candidate,0.848175551268,uniform_proxy,fallback_unverified,1,244,0.0122950819672
63000:250:11078:1213,Taipei,大安區,121.528916894,25.0332081908,within_walk_threshold,2583.41936495,uniform_proxy,residential_area_proxy,5,2088,0.0014367816092
63000:250:11081:1219,Taipei,大安區,121.543812987,25.0405121367,unresolved_walk_evidence,1073.9817397,residential_support,residential_area_proxy,5,289,0.0103806228374
63000:250:11051:1227,Taipei,文山區,121.563323403,24.9727287563,residential_coverage_candidate,7.8803266849,uniform_proxy,fallback_unverified,1,244,0.0122950819672
63000:250:11067:1234,Taipei,文山區,121.580825412,25.0087738782,barrier_detour_candidate,0.180316026926,uniform_proxy,fallback_unverified,1,352,0.00852272727273
63000:250:11085:1226,Taipei,松山區,121.561195987,25.0494755473,within_walk_threshold,1929.98842028,uniform_proxy,residential_area_proxy,5,2088,0.0014367816092
