TOWNID,district_id,COUNTYNAME,district,TOWNENG,COUNTYID,COUNTYCODE,city,grid_cells,population_unknown_cells,walk_eligible_cells,walk_unknown_cells,population_unknown_fraction,walk_unknown_fraction,population_unknown_percent
A02,63000030,臺北市,大安區,Da'an District,A,63000,Taipei,181,0,168,26,0,0.154761904762,0
A11,63000080,臺北市,文山區,Wenshan District,A,63000,Taipei,557,80,357,47,0.143626570916,0.131652661064,14.3626570916
F33,65000040,新北市,永和區,Yonghe District,F,65000,NewTaipei,117,2,82,1,0.017094017094,0.0121951219512,1.7094017094
F07,65000060,新北市,新店區,Xindian District,F,65000,NewTaipei,1968,207,1141,303,0.105182926829,0.26555652936,10.5182926829
F19,65000130,新北市,土城區,Tucheng District,F,65000,NewTaipei,480,0,343,42,0,0.122448979592,0
F04,65000140,新北市,蘆洲區,Luzhou District,F,65000,NewTaipei,128,0,105,6,0,0.0571428571429,0
F03,65000150,新北市,五股區,Wugu District,F,65000,NewTaipei,554,0,421,78,0,0.185273159145,0
F10,65000200,新北市,坪林區,Pinglin District,F,65000,NewTaipei,2730,72,2419,1319,0.0263736263736,0.545266639107,2.63736263736
F22,65000240,新北市,平溪區,Pingxi District,F,65000,NewTaipei,1153,16,483,139,0.0138768430182,0.287784679089,1.38768430182
F11,65000290,新北市,烏來區,Wulai District,F,65000,NewTaipei,5474,200,191,58,0.0365363536719,0.303664921466,3.65363536719
F27,65000100,新北市,淡水區,Tamsui District,F,65000,NewTaipei,1227,99,834,100,0.080684596577,0.119904076739,8.0684596577
F21,65000120,新北市,瑞芳區,Ruifang District,F,65000,NewTaipei,1252,173,546,145,0.138178913738,0.265567765568,13.8178913738
F02,65000170,新北市,林口區,Linkou District,F,65000,NewTaipei,937,110,638,137,0.117395944504,0.21473354232,11.7395944504
F30,65000210,新北市,三芝區,Sanzhi District,F,65000,NewTaipei,1116,58,768,152,0.0519713261649,0.197916666667,5.19713261649
F32,65000230,新北市,八里區,Bali District,F,65000,NewTaipei,664,34,472,100,0.0512048192771,0.21186440678,5.12048192771
F15,65000090,新北市,三峽區,Sanxia District,F,65000,NewTaipei,3120,80,1410,339,0.025641025641,0.240425531915,2.5641025641
F16,65000080,新北市,鶯歌區,Yingge District,F,65000,NewTaipei,384,41,232,28,0.106770833333,0.120689655172,10.6770833333
F18,65000030,新北市,中和區,Zhonghe District,F,65000,NewTaipei,315,3,270,11,0.00952380952381,0.0407407407407,0.952380952381
F17,65000070,新北市,樹林區,Shulin District,F,65000,NewTaipei,536,35,355,31,0.0652985074627,0.087323943662,6.52985074627
F09,65000180,新北市,深坑區,Shenkeng District,F,65000,NewTaipei,365,48,203,41,0.131506849315,0.20197044335,13.1506849315
F14,65000010,新北市,板橋區,Banqiao District,F,65000,NewTaipei,353,1,272,15,0.0028328611898,0.0551470588235,0.28328611898
F08,65000190,新北市,石碇區,Shiding District,F,65000,NewTaipei,2279,18,1859,1019,0.00789820096534,0.548144163529,0.789820096534
F01,65000050,新北市,新莊區,Xinzhuang District,F,65000,NewTaipei,347,19,269,20,0.0547550432277,0.0743494423792,5.47550432277
F06,65000160,新北市,泰山區,Taishan District,F,65000,NewTaipei,302,26,235,63,0.0860927152318,0.268085106383,8.60927152318
F05,65000020,新北市,三重區,Sanchong District,F,65000,NewTaipei,307,4,214,7,0.0130293159609,0.0327102803738,1.30293159609
F23,65000250,新北市,雙溪區,Shuangxi District,F,65000,NewTaipei,2368,63,579,171,0.0266047297297,0.295336787565,2.66047297297
F24,65000260,新北市,貢寮區,Gongliao District,F,65000,NewTaipei,1734,268,829,333,0.154555940023,0.401688781665,15.4555940023
F28,65000110,新北市,汐止區,Xizhi District,F,65000,NewTaipei,1249,140,624,116,0.112089671737,0.185897435897,11.2089671737
F26,65000280,新北市,萬里區,Wanli District,F,65000,NewTaipei,1100,160,799,286,0.145454545455,0.357947434293,14.5454545455
F25,65000270,新北市,金山區,Jinshan District,F,65000,NewTaipei,810,88,450,108,0.108641975309,0.24,10.8641975309
F31,65000220,新北市,石門區,Shimen District,F,65000,NewTaipei,890,93,777,250,0.104494382022,0.32175032175,10.4494382022
A17,63000020,臺北市,信義區,Xinyi District,A,63000,Taipei,182,0,167,9,0,0.0538922155689,0
A05,63000070,臺北市,萬華區,Wanhua District,A,63000,Taipei,140,7,85,3,0.05,0.0352941176471,5
A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,Taipei,124,4,106,13,0.0322580645161,0.122641509434,3.22580645161
A01,63000010,臺北市,松山區,Songshan District,A,63000,Taipei,138,0,106,8,0,0.0754716981132,0
A09,63000060,臺北市,大同區,Datong District,A,63000,Taipei,87,6,69,5,0.0689655172414,0.0724637681159,6.89655172414
A10,63000040,臺北市,中山區,Zhongshan District,A,63000,Taipei,227,0,199,15,0,0.0753768844221,0
A15,63000110,臺北市,士林區,Shilin District,A,63000,Taipei,1050,66,623,69,0.0628571428571,0.110754414125,6.28571428571
A16,63000120,臺北市,北投區,Beitou District,A,63000,Taipei,973,85,561,57,0.087358684481,0.101604278075,8.7358684481
A13,63000090,臺北市,南港區,Nangang District,A,63000,Taipei,390,69,160,11,0.176923076923,0.06875,17.6923076923
A14,63000100,臺北市,內湖區,Neihu District,A,63000,Taipei,530,36,372,26,0.0679245283019,0.0698924731183,6.79245283019
