rank,origin_name,destination_name,origin_station_id,destination_station_id,origin_source_station_key,destination_source_station_key,value,reverse_value,asymmetry,directional_observation_cells_comparable,asymmetry_denominator,pair_observed_days,reverse_observed_days,window_observed_days,window_start,window_end,period,unit,denominator,status,evidence_type,official_hour_semantics_verified,temporal_semantics,origin_source_point_count,origin_distinct_point_count,origin_coordinate_method,origin_longitude,origin_latitude,destination_source_point_count,destination_distinct_point_count,destination_coordinate_method,destination_longitude,destination_latitude,N_od,N_do,hour_window
1,台北車站,台北101/世貿,TRTC:台北車站,TRTC:台北101/世貿,台北車站,台北101/世貿,19500,3817,0.672599391002,True,23317,31,31,31,08:00,09:00,2026-07,journeys,observed_native_date_hour_origin_destination_cells,observed,observed,False,native_hour_local_departure_interpretation_unverified,1,1,mean_of_distinct_official_station_points_epsg3826,121.517438025,25.0462330834,1,1,mean_of_distinct_official_station_points_epsg3826,121.563490095,25.0329794792,19500,3817,08:00–09:00
2,台北車站,市政府,TRTC:台北車站,TRTC:市政府,台北車站,市政府,19240,4466,0.62321775078,True,23706,31,31,31,08:00,09:00,2026-07,journeys,observed_native_date_hour_origin_destination_cells,observed,observed,False,native_hour_local_departure_interpretation_unverified,1,1,mean_of_distinct_official_station_points_epsg3826,121.517438025,25.0462330834,1,1,mean_of_distinct_official_station_points_epsg3826,121.565259454,25.0411788911,19240,4466,08:00–09:00
3,松山,南京復興,TRTC:松山,TRTC:南京復興,松山,南京復興,17756,2166,0.782551952615,True,19922,31,31,31,08:00,09:00,2026-07,journeys,observed_native_date_hour_origin_destination_cells,observed,observed,False,native_hour_local_departure_interpretation_unverified,1,1,mean_of_distinct_official_station_points_epsg3826,121.577733392,25.0500017065,2,2,mean_of_distinct_official_station_points_epsg3826,121.543808098,25.052081043,17756,2166,08:00–09:00
4,台北車站,中正紀念堂,TRTC:台北車站,TRTC:中正紀念堂,台北車站,中正紀念堂,15021,3151,0.653202729474,True,18172,31,31,31,08:00,09:00,2026-07,journeys,observed_native_date_hour_origin_destination_cells,observed,observed,False,native_hour_local_departure_interpretation_unverified,1,1,mean_of_distinct_official_station_points_epsg3826,121.517438025,25.0462330834,1,1,mean_of_distinct_official_station_points_epsg3826,121.51704932,25.0342742702,15021,3151,08:00–09:00
5,松山,台北小巨蛋,TRTC:松山,TRTC:台北小巨蛋,松山,台北小巨蛋,14863,2040,0.758622729693,True,16903,31,31,31,08:00,09:00,2026-07,journeys,observed_native_date_hour_origin_destination_cells,observed,observed,False,native_hour_local_departure_interpretation_unverified,1,1,mean_of_distinct_official_station_points_epsg3826,121.577733392,25.0500017065,1,1,mean_of_distinct_official_station_points_epsg3826,121.552003155,25.0516472422,14863,2040,08:00–09:00
6,松山,南京三民,TRTC:松山,TRTC:南京三民,松山,南京三民,13716,3723,0.57302597626,True,17439,31,31,31,08:00,09:00,2026-07,journeys,observed_native_date_hour_origin_destination_cells,observed,observed,False,native_hour_local_departure_interpretation_unverified,1,1,mean_of_distinct_official_station_points_epsg3826,121.577733392,25.0500017065,1,1,mean_of_distinct_official_station_points_epsg3826,121.564396883,25.0514363209,13716,3723,08:00–09:00
7,台北車站,善導寺,TRTC:台北車站,TRTC:善導寺,台北車站,善導寺,13215,2371,0.695752598486,True,15586,31,31,31,08:00,09:00,2026-07,journeys,observed_native_date_hour_origin_destination_cells,observed,observed,False,native_hour_local_departure_interpretation_unverified,1,1,mean_of_distinct_official_station_points_epsg3826,121.517438025,25.0462330834,1,1,mean_of_distinct_official_station_points_epsg3826,121.523340189,25.044813009,13215,2371,08:00–09:00
8,南港,市政府,TRTC:南港,TRTC:市政府,南港,市政府,13019,3328,0.592830488775,True,16347,31,31,31,08:00,09:00,2026-07,journeys,observed_native_date_hour_origin_destination_cells,observed,observed,False,native_hour_local_departure_interpretation_unverified,1,1,mean_of_distinct_official_station_points_epsg3826,121.607634208,25.0521783783,1,1,mean_of_distinct_official_station_points_epsg3826,121.565259454,25.0411788911,13019,3328,08:00–09:00
9,南港,南港展覽館,TRTC:南港,TRTC:南港展覽館,南港,南港展覽館,12548,1901,0.736867603294,True,14449,31,31,31,08:00,09:00,2026-07,journeys,observed_native_date_hour_origin_destination_cells,observed,observed,False,native_hour_local_departure_interpretation_unverified,1,1,mean_of_distinct_official_station_points_epsg3826,121.607634208,25.0521783783,1,1,mean_of_distinct_official_station_points_epsg3826,121.617622493,25.0545656792,12548,1901,08:00–09:00
10,松山,松江南京,TRTC:松山,TRTC:松江南京,松山,松江南京,12150,1749,0.748327217785,True,13899,31,31,31,08:00,09:00,2026-07,journeys,observed_native_date_hour_origin_destination_cells,observed,observed,False,native_hour_local_departure_interpretation_unverified,1,1,mean_of_distinct_official_station_points_epsg3826,121.577733392,25.0500017065,2,2,mean_of_distinct_official_station_points_epsg3826,121.533059812,25.0522169966,12150,1749,08:00–09:00
