scenario_id,baseline_mean_headway_min,headway_cv,frequency_factor,vehicle_reduction,mean_headway_min,frequency_vehicles_per_hour,wait_min,excess_wait_vs_regular_min,access_min,vehicle_min,total_min,saving_vs_same_cv_baseline_min,holding_cost_min,evidence_kind,actual_route_id
H5-CV0-F1-V0,5,0,1,0,5,12,2.5,0,8,20,30.5,0,,conditional_scenario,
H5-CV0-F1-V0.1,5,0,1,0.1,5,12,2.5,0,8,18,28.5,2,,conditional_scenario,
H5-CV0-F1-V0.2,5,0,1,0.2,5,12,2.5,0,8,16,26.5,4,,conditional_scenario,
H5-CV0-F1.2-V0,5,0,1.2,0,4.16666666667,14.4,2.08333333333,0,8,20,30.0833333333,0.416666666667,,conditional_scenario,
H5-CV0-F1.2-V0.1,5,0,1.2,0.1,4.16666666667,14.4,2.08333333333,0,8,18,28.0833333333,2.41666666667,,conditional_scenario,
H5-CV0-F1.2-V0.2,5,0,1.2,0.2,4.16666666667,14.4,2.08333333333,0,8,16,26.0833333333,4.41666666667,,conditional_scenario,
H5-CV0.5-F1-V0,5,0.5,1,0,5,12,3.125,0.625,8,20,31.125,0,,conditional_scenario,
H5-CV0.5-F1-V0.1,5,0.5,1,0.1,5,12,3.125,0.625,8,18,29.125,2,,conditional_scenario,
H5-CV0.5-F1-V0.2,5,0.5,1,0.2,5,12,3.125,0.625,8,16,27.125,4,,conditional_scenario,
H5-CV0.5-F1.2-V0,5,0.5,1.2,0,4.16666666667,14.4,2.60416666667,0.520833333333,8,20,30.6041666667,0.520833333333,,conditional_scenario,
H5-CV0.5-F1.2-V0.1,5,0.5,1.2,0.1,4.16666666667,14.4,2.60416666667,0.520833333333,8,18,28.6041666667,2.52083333333,,conditional_scenario,
H5-CV0.5-F1.2-V0.2,5,0.5,1.2,0.2,4.16666666667,14.4,2.60416666667,0.520833333333,8,16,26.6041666667,4.52083333333,,conditional_scenario,
H5-CV1-F1-V0,5,1,1,0,5,12,5,2.5,8,20,33,0,,conditional_scenario,
H5-CV1-F1-V0.1,5,1,1,0.1,5,12,5,2.5,8,18,31,2,,conditional_scenario,
H5-CV1-F1-V0.2,5,1,1,0.2,5,12,5,2.5,8,16,29,4,,conditional_scenario,
H5-CV1-F1.2-V0,5,1,1.2,0,4.16666666667,14.4,4.16666666667,2.08333333333,8,20,32.1666666667,0.833333333333,,conditional_scenario,
H5-CV1-F1.2-V0.1,5,1,1.2,0.1,4.16666666667,14.4,4.16666666667,2.08333333333,8,18,30.1666666667,2.83333333333,,conditional_scenario,
H5-CV1-F1.2-V0.2,5,1,1.2,0.2,4.16666666667,14.4,4.16666666667,2.08333333333,8,16,28.1666666667,4.83333333333,,conditional_scenario,
H10-CV0-F1-V0,10,0,1,0,10,6,5,0,8,20,33,0,,conditional_scenario,
H10-CV0-F1-V0.1,10,0,1,0.1,10,6,5,0,8,18,31,2,,conditional_scenario,
H10-CV0-F1-V0.2,10,0,1,0.2,10,6,5,0,8,16,29,4,,conditional_scenario,
H10-CV0-F1.2-V0,10,0,1.2,0,8.33333333333,7.2,4.16666666667,0,8,20,32.1666666667,0.833333333333,,conditional_scenario,
H10-CV0-F1.2-V0.1,10,0,1.2,0.1,8.33333333333,7.2,4.16666666667,0,8,18,30.1666666667,2.83333333333,,conditional_scenario,
H10-CV0-F1.2-V0.2,10,0,1.2,0.2,8.33333333333,7.2,4.16666666667,0,8,16,28.1666666667,4.83333333333,,conditional_scenario,
H10-CV0.5-F1-V0,10,0.5,1,0,10,6,6.25,1.25,8,20,34.25,0,,conditional_scenario,
H10-CV0.5-F1-V0.1,10,0.5,1,0.1,10,6,6.25,1.25,8,18,32.25,2,,conditional_scenario,
H10-CV0.5-F1-V0.2,10,0.5,1,0.2,10,6,6.25,1.25,8,16,30.25,4,,conditional_scenario,
H10-CV0.5-F1.2-V0,10,0.5,1.2,0,8.33333333333,7.2,5.20833333333,1.04166666667,8,20,33.2083333333,1.04166666667,,conditional_scenario,
H10-CV0.5-F1.2-V0.1,10,0.5,1.2,0.1,8.33333333333,7.2,5.20833333333,1.04166666667,8,18,31.2083333333,3.04166666667,,conditional_scenario,
H10-CV0.5-F1.2-V0.2,10,0.5,1.2,0.2,8.33333333333,7.2,5.20833333333,1.04166666667,8,16,29.2083333333,5.04166666667,,conditional_scenario,
H10-CV1-F1-V0,10,1,1,0,10,6,10,5,8,20,38,0,,conditional_scenario,
H10-CV1-F1-V0.1,10,1,1,0.1,10,6,10,5,8,18,36,2,,conditional_scenario,
H10-CV1-F1-V0.2,10,1,1,0.2,10,6,10,5,8,16,34,4,,conditional_scenario,
H10-CV1-F1.2-V0,10,1,1.2,0,8.33333333333,7.2,8.33333333333,4.16666666667,8,20,36.3333333333,1.66666666667,,conditional_scenario,
